name,capacity,category,descriptionFr,descriptionEn,photoThumbnails,popularityScore,price,subCategories,eanCode,itemHeightRef
IGP ALPILLES ROSE TRADITION,33831.0,wine,"Découvrez le vin rosé IGP Alpilles Tradition, un mélange subtil de fraîcheur et de complexité aromatique, idéal pour accomagner une viande grillée ou une salade provençale.","A delicate Alpilles rosé offering fresh acidity and subtle complexity, notes of wild strawberries and a hint of minerals. Pairs perfectly with grilled salmon or goat cheese.",https://www.vinatis.co.uk/96467-detail_default/alpilles-rose-2024-domaine-de-valdition.png,0,10.5,,3760076070020,99056669
VAL DE L OULE ROSE TENDRESSE,20386.33,wine,"Ce rosé délice équilibre subtilité et fruité, avec des notes de pêche et de cerise. Idéal pour accompagner grillades ou charcuteries, il se boit frais, entre 10-12°C, pour préserver sa douceur et son elegance.","Elegant and refreshing, Val de L'Oule Rosé Tendresse features subtle berry notes and a zesty finish, ideal for pairing with light appetizers.",https://botanic-botanic-storage.omn.proximis.com/Imagestorage/imagesSynchro/500/1600/f079c8633f78fc16c39ae23af7647a7acc1cfeca_1776766.png,0,7.0,,3435600000216,99037387
GRAND MAS DE LANSAC BLAN,13666.05,wine,"Ce vin est une véritable explosion de fraîcheur et de complexité, avec des notes subtiles de pierre à oignon et des accents fruités délicats. Idéal pour accomagner des poissons grillés ou des fromages frais.","Elegant and mineral-driven, Grand Mas de Lansac Blanc offers zesty citrus notes with hints of honey and a crisp finish—perfect for pairing with seafood or subtly spiced dishes.",https://images.vivino.com/labels/4j5E5AwLQSu1ZkvlNo9bSA.jpg,0,5.1,,3760059140030,99016142
IGP VAR GRIS GRIS DE ROSE,13521.48,wine,"Ce vin élégant, aux reflets dorés et à l'éclat perlé, dévoile des nuances subtiles et une complexité envoûtante. Son nez subtil, dominé par des notes de pétale de rose et d'agrumes, s'harmonise avec sa bouche équilibrée et minérale, ponctuée par un frais fruité persistant. Idéal pour accompagner des poissons blancs ou des viandes blanches légèrement marinées.","""A captivating rosé with vibrant pink hues and a delicate floral aroma, offering notes of wild strawberries and crisp citrus. Pairs beautifully with grilled salmon or a fresh garden salad.""",https://vinessen.fr/wp-content/uploads/2018/06/gris-de-rose.jpg,0,5.1,,3760146021815,99005260
GRAND MAS LANSAC ROSE,12805.32,wine,"Ce Grand Mas Lansac Rosé est un vin subtil et équilibré,alliant fraîcheur et douceur. Idéal avec des fruits de mer ou une salade méditerranéenne.","A delicate rosé with hints of strawberry and lavender, complementing grilled chicken with herbs or fresh salad.",https://static.alpillesenprovence.com/wp-content/uploads/external/dc5cb901283224184195d91e5ec91bbe-19994979-710x1000.jpg,0,4.9,,3760059140023,99016143
AOP FOLIE EN PROVENCE 2023 COT,13005.9,wine,"Ce vin AOP Folie en Provence 2023 COT invite à la découverte d'un équilibre subtil entre fruits roux et douceur des herbes provençales, alliant structure raffinée et souplesse. Idéalement accompagné de viandes grillées ou d'un plat de charcuterie, il révèle une complexité aromatique exceptionnelle.","AOP FOLIE EN PROVENCE 2023 COT is a sophisticated blend of dark fruit and aromatic complexity, reflecting Provençal terroir at its best. Pair with charcuterie or grilled meats for an elegant experience.",https://www.magnumdevin.com/3021-large_default/magnum-rose-coteaux-d-aix-en-provence-roseblood-cuvee-1489-chateau-d-estoublon.jpg,0,5.0,,3760092070349,99064698
LANSAC ROSE 5L,37964.1,wine,"Ce vin rosé Lansac envoûte par ses nuances de rose pâle et sa complexité aromatique, avec des notes de fruits rouges et une acidité équilibrée. Idéal pour accompagner des plats légèrement épicés ou des desserts fruités, ce nectar ravira les amateurs de saveurs subtiles et rafraîchissantes.","Savor the elegant, fruit-forward profile of Lansac Rosé 5L, where subtle hints of strawberry and raspberry harmonize with crisp acidity—ideal for pairing with grilled salmon or a cheeseboard.",https://static.pourdebon.com/images/500-370/pourdebon-image-bucket-prod/5a804a4c65589964867fd00a0f1544ab.jpeg,0,15.7,,3760059140078,99016147
LAGOY VIN ROSE IGP ALPILLES BI,21166.0,wine,"Ce rosé LAGOY VIN ROSE IGP Alpilles BI est un vin délicat aux nuances aromatiques complexes, avec des notes de framboises sauvages et des herbes provençales. Son palais équilibré se distingue par une fraîcheur minérale et une pointe piquante. Idéal pour accompagner une salade de chèvre frais ou un poisson grillé, ce vin offre une expérience raffinée et polyvalente.","LAGOY VIN ROSE IGP ALPILLES BI is a luminous Provence rosé with notes of wild strawberries, raspberries, and subtle herbs. Pair with goat cheese or charcuterie for an authentic Provençal encounter.",https://www.belvibio.com/1139301-product_small/vin-allusion-bio-rose-igp-mediterranee-domaine-atillon-75cl.jpg,0,9.1,,3760063300321,99010236
LE GRIS MAS MARIGNAN,11146.66,wine,"LE GRIS MAS MARIGNAN est un vin subtil et équilibré, aux nuances d'agrumes et de miel, avec des touches florales et une douceur vanillee. Idéal pour accomagner les viandes blanches ou les poissons riches en sauce.","Discover LE GRIS MAS MARIGNAN, a sophisticated blend from Léognan’s terroir, offering opulent blackcurrant and graphite nuances with a velvety touch. Pair with roasted venison or lamb for an elegant encounter.",https://images.vivino.com/labels/ooLlCehGSrmGHX64gQGVRA.jpg,0,4.8,,3538650074333,99066408
LUBERON LES CLAPES,13726.86,wine,"Ce vin LUBERON LES CLAPES allie richesse et complexité, avec des notes de mûre, de cacao et une pointe épicée. Idéal pour accompagner un plat de viande en sauce ou des fromages puissants.","Discover LUBERON LES CLAPES, a sophisticated blend where notes of dark berries and lavender essence dance elegantly on the palate, balanced by a touch of smoky spice. Pair with grilled lamb or ratatouille for a harmonious pairing that enhances its rich complexity.",https://img.e-boissons.com/picture/product/CBO/luberon-les-clapes-blanc-2023-cave-de-bonnieux-18544-1-1R9S.png,0,6.6,,3760028200048,99060230
